company_id,company_name,industry,tier,min_cgpa,avg_package_lpa,max_package_lpa,campus_visits,selection_ratio,preferred_branches,location,min_internships,preferred_projects,valued_certifications
1,Google,Technology,Tier1,8.5,25,45,Yes,0.02,CSE ECE IT,Bangalore,2,4,"Google Cloud,Coursera ML,LeetCode Premium"
2,Microsoft,Technology,Tier1,8,22,40,Yes,0.03,CSE ECE IT,Hyderabad,1,3,"Azure Fundamentals,Microsoft Certified,GitHub"
3,Amazon,E-commerce,Tier1,7.5,18,35,Yes,0.05,CSE ECE IT EEE,Bangalore,1,3,"AWS Cloud Practitioner,System Design,LeetCode"
4,Meta,Social Media,Tier1,8.2,24,42,Yes,0.025,CSE ECE IT,Bangalore,2,4,"React Certificate,Meta Blueprint,Coursera"
5,Apple,Technology,Tier1,8.5,26,48,No,0.015,CSE ECE,Bangalore,2,5,"iOS Development,Swift Certified,App Store"
6,Netflix,Streaming,Tier1,8,28,50,No,0.02,CSE IT,Bangalore,2,4,"System Design,Microservices,Kafka"
7,Adobe,Software,Tier1,7.8,20,38,Yes,0.04,CSE ECE IT,Bangalore,1,3,"Adobe Certified,Creative Suite,UX Design"
8,Salesforce,CRM,Tier1,7.5,19,36,Yes,0.045,CSE ECE IT EEE,Hyderabad,1,2,"Salesforce Admin,Platform Developer,Trailhead"
9,Goldman Sachs,Finance,Tier1,8.5,30,55,Yes,0.015,CSE ECE EEE,Bangalore,1,3,"CFA,Financial Modeling,Python Finance"
10,Morgan Stanley,Finance,Tier1,8.2,28,52,Yes,0.02,CSE ECE EEE MECH,Mumbai,1,2,"Financial Risk,Bloomberg Terminal,Quantitative"
11,TCS,IT Services,Tier2,6,3.6,8,Yes,0.6,All Branches,Multiple,0,1,"Any Programming,Basic Computer,Digital Literacy"
12,Infosys,IT Services,Tier2,6.5,4.2,12,Yes,0.5,All Branches,Multiple,0,1,"Programming Language,Database,Web Development"
13,Wipro,IT Services,Tier2,6,3.8,10,Yes,0.55,All Branches,Multiple,0,1,"Java,Python,SQL,Basic Certification"
14,Accenture,Consulting,Tier2,7,6,15,Yes,0.3,CSE ECE IT EEE MECH,Multiple,0,2,"Cloud Computing,Digital Skills,Agile"
15,Cognizant,IT Services,Tier2,6.5,4.5,12,Yes,0.4,CSE ECE IT EEE,Multiple,0,1,"Programming,Database,Testing"
16,HCL,IT Services,Tier2,6,4,10,Yes,0.45,All Branches,Multiple,0,1,"Technical Certification,Programming"
17,Tech Mahindra,IT Services,Tier2,6.5,4.2,11,Yes,0.4,CSE ECE IT EEE,Multiple,0,1,"Programming,Telecom,Cloud"
18,Capgemini,Consulting,Tier2,7,5.5,14,Yes,0.35,CSE ECE IT EEE MECH,Multiple,0,2,"Cloud,DevOps,Digital Transformation"
19,IBM,Technology,Tier2,7.2,8,18,Yes,0.25,CSE ECE IT EEE,Bangalore,1,2,"IBM Cloud,AI,Data Science,Watson"
20,Oracle,Database,Tier2,7.5,12,25,Yes,0.2,CSE ECE IT,Bangalore,1,2,"Oracle Database,Java,Cloud Infrastructure"
21,Flipkart,E-commerce,Tier2,7,15,30,Yes,0.15,CSE ECE IT,Bangalore,1,3,"System Design,Java,Python,Web Development"
22,Paytm,Fintech,Tier2,7,12,25,Yes,0.2,CSE ECE IT,Noida,1,2,"Financial Technology,Java,Android,API"
23,Zomato,Food Tech,Tier2,6.8,10,22,Yes,0.25,CSE ECE IT,Gurgaon,1,2,"Android,iOS,Backend Development"
24,Swiggy,Food Tech,Tier2,6.5,12,24,Yes,0.22,CSE ECE IT,Bangalore,1,2,"Mobile Development,Backend,API Design"
25,Ola,Transportation,Tier2,7,11,20,Yes,0.18,CSE ECE IT,Bangalore,1,2,"Android,Backend,Maps API,Location Services"
26,PhonePe,Fintech,Tier3,6.5,14,28,No,0.1,CSE ECE IT,Bangalore,1,3,"Fintech,Payment Systems,Android,Security"
27,Razorpay,Fintech,Tier3,7.2,16,32,No,0.08,CSE ECE IT,Bangalore,1,3,"Payment Gateway,API,Security,Backend"
28,Byju's,EdTech,Tier3,6,8,18,Yes,0.3,All Branches,Bangalore,0,1,"Education Technology,Content Development"
29,Unacademy,EdTech,Tier3,6.5,10,20,Yes,0.25,CSE ECE IT,Bangalore,1,2,"EdTech,Video Streaming,Mobile Apps"
30,Zerodha,Fintech,Tier3,7.5,18,35,No,0.05,CSE ECE EEE,Bangalore,2,4,"Trading Systems,Financial Markets,Python"
